Country/Region;Population;Area;% Max;% Min;% Latest;% Last Day;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26;2020-05-27;2020-05-28;2020-05-29;2020-05-30;2020-05-31;2020-06-01;2020-06-02;2020-06-03;2020-06-04;2020-06-05;2020-06-06;2020-06-07;2020-06-08;2020-06-09;2020-06-10;2020-06-11
US Delaware;973764;5047;0.247866224;0.0047756932;0.0052194803;0.0049721559;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2421015078;0.2330732542;0.247866224;0.2468985482;0.2465031049;0.2392027681;0.2210028635;0.2056736453;0.188842607;0.1702890443;0.1539888582;0.1428032021;0.1521239582;0.1590020167;0.1761234618;0.1866827024;0.1812604997;0.1688074301;0.1488989999;0.1368929761;0.1172814755;0.098072356;0.0821739305;0.077105414;0.0764455743;0.0832910012;0.0844101079;0.0779677798;0.0715782854;0.0638742472;0.0677583957;0.0666631124;0.0657194678;0.058874173;0.0563452789;0.056771438;0.0643891921;0.0671570307;0.0602108416;0.0499644163;0.0356171236;0.0315542763;0.026995085;0.0262107533;0.0284902757;0.0303134396;0.0350345122;0.0366905495;0.0346316684;0.0307530284;0.0259651516;0.0253598239;0.0265456149;0.028073852;0.028965584;0.027613772;0.0249850112;0.0227412886;0.0213983351;0.0217148925;0.0212220451;0.0208540694;0.0194265469;0.0182515751;0.0168064061;0.0145401689;0.0123055685;0.0096739356;0.0090873743;0.0093511851;0.010728677;0.0114812959;0.0103749885;0.0086507713;0.0061309413;0.004964985;0.0047756932;0.0052429113;0.0059589765;0.0057732686;0.0052194803
US District of Columbia;705749;158;0.369175965;0.0071178869;0.0071178869;0.0054524484;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1808612863;0.216563085;0.316074013;0.3579060687;0.369175965;0.3336021605;0.2560935946;0.2356948045;0.2233595679;0.2368400246;0.2294668205;0.2029458329;0.1740829214;0.1611635199;0.1659192125;0.173936427;0.1750421996;0.1690061509;0.1571398166;0.1465933337;0.1344505711;0.1283736558;0.119541566;0.1144466617;0.106793486;0.0911515111;0.0766235865;0.0623337448;0.0577440555;0.0559254357;0.0578611449;0.0620806386;0.0631972209;0.0615012478;0.05855117;0.0535684227;0.0505427545;0.0474610106;0.0467933609;0.046417755;0.0428697958;0.0381740054;0.0316192128;0.0292937452;0.0343784683;0.0411176613;0.0480976106;0.0479560604;0.0433473624;0.0373230927;0.0323596053;0.0322904563;0.0329468662;0.0345271013;0.0336414839;0.0299541848;0.0246077094;0.020331391;0.0185066937;0.019072876;0.0196854932;0.0199694412;0.0196686216;0.0189013639;0.0200331145;0.020330286;0.0202239177;0.0185676481;0.0162163345;0.0149681171;0.0136519957;0.0130739344;0.0116283024;0.010898631;0.0107506837;0.0111374552;0.0107165755;0.0096847844;0.0091423586;0.0089778969;0.0096909466;0.009586952;0.0088378135;0.007774245;0.0072784223;0.0071178869
US Florida;21477737;138887;0.43393625;-0.2857222877;0.0184234911;0.0252037227;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.2857222877;-0.1619460922;0.3099383027;0.3905071592;0.43393625;0.4166180146;0.4169849132;0.383394145;0.3835942158;0.3716256027;0.3303821822;0.3147164068;0.2922267221;0.2842312814;0.2834775449;0.2646768609;0.2701524301;0.260707928;0.2541785785;0.239529722;0.2055993703;0.1858122952;0.1616473163;0.1563174198;0.1502202246;0.1447707933;0.1313657869;0.1096704453;0.0911722326;0.0776880241;0.068302173;0.0620648811;0.0584708336;0.0558058378;0.0532817181;0.0478888911;0.0443407965;0.0419723584;0.0398368911;0.0393593531;0.0361887282;0.0334847031;0.0293640293;0.0288522504;0.0289546685;0.0292418763;0.0279569192;0.0253523103;0.0224191165;0.0188771417;0.0182900139;0.0185648891;0.0199977392;0.021151098;0.0209885096;0.0197592221;0.0183110542;0.0170592701;0.0168109773;0.0161993373;0.0156230178;0.0157246243;0.0150736896;0.0157732399;0.0161444667;0.0168380071;0.0176856676;0.0177631284;0.0175676487;0.0163077077;0.0157687076;0.0156265532;0.0162896043;0.0165993579;0.0164496617;0.0155523509;0.0138444551;0.0126032914;0.0123337692;0.0131963294;0.0147516032;0.0158105228;0.0152686141;0.0147363637;0.015170533;0.0173812143;0.019916039;0.0211943889;0.0208875888;0.0193901873;0.0182623515;0.0184234911
US Georgia;10617423;148959;0.4217295767;0.0128436575;0.0133400391;0.0183957021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4193844478;0.4217295767;0.4010039832;0.351685936;0.3208166989;0.3333697538;0.3495357704;0.346884218;0.3141548968;0.2762042515;0.2584679295;0.2558245848;0.2624557467;0.251997293;0.2321299568;0.1981086973;0.1842870386;0.1787771571;0.1866358413;0.1923288921;0.1657385994;0.131364197;0.0965831988;0.0954754139;0.1069424512;0.1195963662;0.1225490466;0.107001622;0.0851198271;0.0667753038;0.0577185852;0.055915487;0.0559711166;0.0598300407;0.060238989;0.0574098016;0.051758204;0.0453065458;0.0419853977;0.039743391;0.0406221835;0.0381321037;0.0345733163;0.0302862117;0.0280310328;0.0279873605;0.0284338337;0.0306570567;0.0324539675;0.0323931131;0.0310544883;0.026416734;0.0237458406;0.0220341583;0.0223214451;0.0231245008;0.022363071;0.0212364572;0.0199837781;0.0197477562;0.0191850909;0.0193769382;0.0183206801;0.017886455;0.0163757659;0.015028041;0.0150703472;0.0158567706;0.0179746749;0.0196156018;0.020282819;0.0195043411;0.0173583942;0.0152818471;0.0136514782;0.0130813914;0.013417566;0.0138672079;0.0140908636;0.0138590122;0.013749477;0.0141040879;0.0147054379;0.0153390185;0.0153773238;0.0145746865;0.0135830316;0.0128436575;0.0133400391
US Guam;162742;543;0.2433991174;0.0006800412;0.0031438206;0.0054945055;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2433991174;0.1944808901;0.1698988742;0.1445204812;0.133893419;0.1034317174;0.0830533804;0.0781105726;0.0891932923;0.0950397698;0.0907172171;0.0909803259;0.0867335332;0.0923641942;0.0850473013;0.0665800101;0.0475937856;0.0310391697;0.0248849283;0.0164815752;0.0106292302;0.0055911571;0.0025151679;0.0006823614;0.0006818961;0.0006814314;0.0006809674;0.000680504;0.0006800412;0.0012448392;0.0054504055;0.0101479238;0.014774559;0.0158101697;0.0131528549;0.0097256174;0.0061058223;0.0054907424;0.0051681308;0.0059874378;0.0059602468;0.0059333017;0.005063453;0.0040021275;0.0036156896;0.0027724136;0.0024906793;0.0015628639;0.0011007171;0.0012824062;0.0016460961;0.0024634099;0.0041995961;0.0066535344;0.009534891;0.0119179971;0.0133320436;0.0127964484;0.0106402085;0.0075418962;0.004499637;0.003128981;0.0033866901;0.0049976569;0.0068424716;0.0075505082;0.0073805745;0.0063557342;0.0053386998;0.0055417132;0.0059847076;0.0069059943;0.0067324714;0.0054682909;0.0038456837;0.0022396557;0.0014886532;0.0019474289;0.0031438206
US Hawaii;1415872;16635;0.3702183532;-0.0001941559;0.0063400528;0.004398827;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3702183532;0.3408266613;0.2961923171;0.2394944261;0.198583981;0.1540021405;0.1402737373;0.1422427017;0.1617046297;0.1628756245;0.1546048119;0.1391378165;0.1292961539;0.1293831855;0.1164620919;0.1023586196;0.0789067104;0.0657413933;0.0544644785;0.0488303413;0.0450259343;0.041572065;0.0371200677;0.0316271614;0.02722403;0.0229881994;0.0219339607;0.0235006306;0.0242487222;0.0228214295;0.0182737625;0.0132245549;0.0091016965;0.0072566472;0.0076438682;0.00731413;0.0064347983;0.0045799547;0.0040036695;0.0041181379;0.0046481088;0.0047682028;0.0041431254;0.0029084821;0.0022223108;0.0020132979;0.0027447957;0.003141225;0.0031328496;0.0027927661;0.0022530128;0.0021152947;0.002241132;0.0022375921;0.0021019559;0.0017052597;0.0013083896;0.0012411429;0.0011089746;0.0013686609;0.0018207905;0.0016240675;0.0013633297;0.000486784;-0.0001618725;-0.0001941559;-0.0000970638;0.0008416698;0.0013252554;0.0021299375;0.0026753289;0.0026705085;0.002247566;0.0016011836;0.0012782846;0.0022298103;0.0043773051;0.0066318725;0.0078081736;0.0075174421;0.0063400528
US Idaho;1787065;214045;0.4142135624;0.0092228977;0.0096665412;0.0124223602;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2716977157;0.2652197672;0.3383505165;0.4052258217;0.4142135624;0.343304137;0.2650393837;0.2323318742;0.2402572741;0.2701891124;0.2709858567;0.2426905357;0.1867047754;0.1256926942;0.0784898428;0.0491713952;0.0442902999;0.044243263;0.0453046417;0.0402135002;0.0308847061;0.0219965105;0.0203066347;0.0245592011;0.0314419174;0.0323056626;0.0262053576;0.0216071509;0.0162458555;0.0183454138;0.0198703404;0.0206294122;0.0196581591;0.0161037922;0.0134653972;0.0115099906;0.0114243993;0.0128812612;0.0142933221;0.0146340003;0.0136632536;0.0123512007;0.0115044521;0.0112630369;0.0112771743;0.0114218869;0.0115340479;0.0111181616;0.0103593412;0.0096811602;0.0098343176;0.0106084377;0.0119947806;0.0130194888;0.0131175564;0.0120854013;0.0105893837;0.0095698094;0.0092228977;0.0108996923;0.0128801177;0.0142911372;0.0141652967;0.0125010206;0.0110865632;0.0102483401;0.0108886516;0.0118454386;0.0124090019;0.012523476;0.0120791448;0.0121991563;0.0133116106;0.015241271;0.0165861538;0.0161683622;0.0140435946;0.0112241377;0.0096665412
US Illinois;12671821;143793;0.5892544371;0.0073175564;0.0073175564;0.0058669894;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3243050208;0.4142135624;0.5131749175;0.5728338887;0.5892544371;0.5362305461;0.4499888572;0.3715332351;0.3136962724;0.27649988;0.2558765277;0.2467268409;0.2378262945;0.241820667;0.2197528437;0.2046896553;0.1879080891;0.1678095911;0.1573093398;0.1456608997;0.1405924856;0.1314619657;0.1197356718;0.1097822143;0.1022645222;0.0988371542;0.096021971;0.0909469724;0.0833690028;0.0756887283;0.0690519159;0.0616328601;0.0584931795;0.0567727019;0.0566463328;0.0546553392;0.0506504467;0.0485163223;0.0481106793;0.0525024644;0.0567335282;0.0589467676;0.0577468239;0.0540672618;0.0508414151;0.0483175319;0.0490340481;0.0498030336;0.0509157055;0.049781285;0.0467820912;0.042786736;0.0388656505;0.0373222649;0.0364064998;0.0353839913;0.0322554607;0.0302015364;0.0282395191;0.0295029886;0.030930658;0.0308585358;0.0293732447;0.0258494389;0.0235837062;0.0216061831;0.0210884009;0.0217227444;0.0227803834;0.0234166907;0.0232388577;0.0211690063;0.0181678014;0.014952846;0.0129805237;0.0122098761;0.0123702547;0.01220926;0.0118339372;0.0109673014;0.0102205843;0.0096354844;0.008951604;0.0084871454;0.0082099782;0.008129871;0.0078992556;0.0073175564
US Indiana;6732219;92789;0.4756255798;-0.5866418411;0.0092121157;0.0107207137;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.5668932773;-0.5866418411;-0.53744557;-0.4419101951;0.2309969626;0.2736617335;0.316074013;0.3750845794;0.4454756206;0.4714547144;0.4756255798;0.4331336815;0.3833951021;0.3763706852;0.3642754653;0.3564163575;0.3212796105;0.2693122032;0.2285128148;0.2013444555;0.1884519895;0.1756617624;0.1603378403;0.1442496849;0.1323096197;0.1197229143;0.108233815;0.0959803403;0.08626691;0.0795899215;0.0730310767;0.064887448;0.05585294;0.0495602004;0.0496911752;0.0528305734;0.0561975601;0.0554645341;0.0512605035;0.0453144433;0.0409201122;0.039492356;0.0411232346;0.0443509235;0.0482516407;0.0498092415;0.0487195526;0.046131746;0.0427950276;0.040561964;0.0385658934;0.0372519773;0.0346292253;0.03266331;0.0311302865;0.0310964304;0.0307160452;0.028682296;0.0260242805;0.0227635015;0.0204301852;0.0193224405;0.0190917117;0.0200571111;0.0208909483;0.0210474008;0.0203384368;0.0189747523;0.0184576068;0.0184080654;0.018670915;0.0182018977;0.0168501981;0.0151351201;0.0133842791;0.0129546593;0.0132232488;0.0145678653;0.0155163369;0.0151076868;0.0137890623;0.0120334919;0.0112931389;0.0113177724;0.0118065361;0.0120535417;0.0114149941;0.0105951871;0.0097098547;0.0092121157
US Iowa;3155070;144669;0.307459695;0.0129070925;0.0130702826;0.0171611015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1001908367;0.1201687828;0.1525720491;0.1839566242;0.2442541544;0.2869630544;0.307459695;0.2991017419;0.2545086603;0.2188366197;0.2074357068;0.2222845653;0.2346306197;0.2396580742;0.2245622508;0.1986967705;0.1756338383;0.1517905268;0.1367613267;0.1248021767;0.1187068955;0.1134545343;0.1058461729;0.1014318762;0.0997354996;0.098536573;0.0933086469;0.0854389646;0.0811493816;0.0768187377;0.0770322476;0.0770205063;0.0768119331;0.0843234681;0.0917584229;0.1066819197;0.1084992024;0.0992869132;0.0903173103;0.085310522;0.092255753;0.0978792738;0.0996820911;0.0912269603;0.0791924564;0.0740465172;0.0750623067;0.0771433674;0.0781240025;0.0729110296;0.0629598598;0.052869321;0.0458766559;0.0421480345;0.0380544391;0.0333614869;0.0313334953;0.0306433871;0.0325030367;0.0331079698;0.0308194025;0.0276947098;0.0245243613;0.0232084452;0.0222310702;0.0230420406;0.0239048923;0.0247163321;0.02481855;0.0234993157;0.02128318;0.019938613;0.0191239439;0.0194230794;0.019464458;0.0185049647;0.0171997621;0.014907082;0.01306919;0.0133889968;0.0147123836;0.0171445206;0.0184283883;0.0170377577;0.0152802599;0.0129070925;0.0130702826
US Kansas;2913314;211754;0.4035716208;-0.5484228283;0.007229718;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.5484228283;;;;0.4035716208;0.3260829012;0.2693035456;0.2315936651;0.2453017995;0.2533472278;0.2681186311;0.2643616997;0.2470405268;0.2244704187;0.1929586036;0.1693247845;0.1492957268;0.1379984874;0.1274500249;0.1187216103;0.1079065583;0.1052984411;0.1025952529;0.0971353916;0.0917263837;0.0781375545;0.0686904096;0.0568290952;0.0495792898;0.0456391701;0.0471714966;0.052703752;0.056089061;0.0569018421;0.0518614702;0.0518467618;0.0588718128;0.0734937463;0.091418119;0.0968886407;0.0921486585;0.0754589086;0.0614989453;0.0622271864;0.0677813787;0.0767609125;0.0774023994;0.0698238077;0.0607884595;0.0517496716;0.0506889281;0.0517336224;0.0537198423;0.0528880669;0.046783526;0.0382441879;0.0305378203;0.0266049515;0.0256143649;0.0252966921;0.0246282605;0.0229217546;0.0203953359;0.0177238655;0.0163399052;0.0166702161;0.0173936393;0.0174637896;0.015819572;0.0129058146;0.0099558117;0.0091650783;0.0106874848;0.0127530944;0.0142139589;0.0139072373;0.0122888167;0.0102343461;0.0091523368;0.0091495756;0.0093466823;0.0094814309;0.00929116;0.008805456;0.0082420651;0.007229718
US Kentucky;4467673;102269;0.3265198641;-0.6458618212;0.0137605542;0.0052175377;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.6322724366;-0.6458618212;-0.5930279487;-0.5031104829;0.3048038402;0.3265198641;0.3191099593;0.2971208949;0.244017184;0.2376448733;0.2298112493;0.2513471712;0.2406951571;0.2147498483;0.19197964;0.1670206423;0.1580086029;0.1480614645;0.1363698292;0.1146537332;0.0899018023;0.0807582907;0.0860407047;0.1156813075;0.1365447062;0.1423490557;0.122907591;0.0871910193;0.0666707962;0.0543505368;0.0561588842;0.0547683888;0.0533283911;0.0574600527;0.0590304632;0.061710047;0.0585429441;0.0524235936;0.0509261339;0.0495282299;0.0515890175;0.0481468738;0.0432432646;0.0399707208;0.037473124;0.0389253988;0.0374697483;0.0354632573;0.0308021961;0.0347938646;0.0389475708;0.0447244267;0.0451518165;0.0387463356;0.0320357427;0.0241397158;0.0228735382;0.0224718207;0.0234232943;0.0253647399;0.0271089282;0.0279263902;0.0280696664;0.0256257099;0.0216195467;0.0165393484;0.0129010737;0.0124146685;0.0139008777;0.0163617747;0.0180548997;0.0176503535;0.0157009986;0.0145493263;0.0148842122;0.0188072276;0.0224471336;0.0248222268;0.0250384569;0.0237677383;0.0244284429;0.023660659;0.0219840197;0.0187356751;0.0155427492;0.0137605542
US Louisiana;4648794;111898;0.4856309288;0.0086916623;0.0093407001;0.01003861;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4856309288;0.4221366374;0.4264825882;0.4224122453;0.3999875558;0.3751446105;0.3379732183;0.3280518493;0.3053833669;0.2751938545;0.2527245207;0.2185183608;0.1865982354;0.1693923058;0.1701689972;0.2133724219;0.2417840582;0.2568240126;0.229141273;0.1801834446;0.14302682;0.1082175591;0.0956611386;0.0782209705;0.0684436128;0.0557688721;0.0454015033;0.0371144799;0.0288530374;0.0247072838;0.0234085643;0.02333153;0.0230019852;0.0220972789;0.020457964;0.0189715332;0.018003275;0.017269035;0.0169114835;0.015672448;0.0145190265;0.0126880099;0.0113592416;0.0109062112;0.0122762837;0.0142528813;0.0154204747;0.0153344066;0.0134653256;0.0120571223;0.0108774191;0.0104776033;0.0108192257;0.0103954642;0.0102347828;0.0095435956;0.0095555675;0.0113348193;0.0133237996;0.0153002119;0.0148408535;0.0126327049;0.0103179655;0.0088043084;0.0107450341;0.0130278782;0.0147640184;0.0141432096;0.0118594528;0.0097131879;0.0086916623;0.0093585983;0.0098312581;0.0098860922;0.0093182704;0.0095731471;0.0095510184;0.0097475905;0.0098763143;0.0099681252;0.0102421393;0.0102150976;0.0098010135;0.0094767341;0.0091082033;0.0093407001
US Maine;1344212;79883;0.2421214794;0.0108439808;0.0108439808;0.0113765643;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2421214794;0.2040252024;0.2035202457;0.2012087069;0.1830505297;0.1509260757;0.1356880503;0.134874991;0.1456363542;0.1518999417;0.1462976868;0.1279494553;0.1173828727;0.1105458986;0.1016463813;0.0863876193;0.0660746416;0.0531635745;0.0444445706;0.0424789945;0.0431595617;0.0422608355;0.0476860198;0.0524682057;0.0573112486;0.0580908088;0.052917119;0.0457893729;0.0364463766;0.030032798;0.0238899082;0.0196557603;0.0182842054;0.0205984917;0.0240251783;0.0269783707;0.0260506361;0.0231262305;0.0190705978;0.0181050432;0.0197194453;0.0229168235;0.0262783824;0.0264326028;0.0251500487;0.0225908392;0.0243826618;0.0281507775;0.0326571848;0.0343494094;0.0310678909;0.0253581007;0.0201740604;0.0195138108;0.0212040607;0.0242998408;0.0261248808;0.0259119283;0.0236013772;0.0229227165;0.0243587036;0.0282930836;0.0322957081;0.0335048382;0.0309500399;0.0253321881;0.0200307092;0.0169747752;0.0162861784;0.0179084794;0.0197027384;0.0196538316;0.0185191677;0.0162844644;0.0146044942;0.0137312572;0.013924303;0.0147863808;0.0148899195;0.013931582;0.0124791637;0.0108439808
US Maryland;6045680;25142;1.7259665704;-0.4170121464;0.0090801061;0.012309762;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.7259665704;0.3543842877;-0.4170121464;-0.3781718174;-0.3380793337;0.3049217282;0.2678135304;0.2416315846;0.2340337406;0.2525283298;0.2774326874;0.2975815231;0.2812987993;0.2480955395;0.2117490957;0.1875216282;0.1803795365;0.1748136573;0.1704280629;0.1588893473;0.1418393548;0.1414738193;0.1409479541;0.1473904318;0.1474654565;0.1318596757;0.114931474;0.0926955649;0.0807406985;0.0725571238;0.0684214311;0.0681067183;0.065893216;0.0640249878;0.0588178194;0.0532105023;0.0504924337;0.049663936;0.0533757715;0.0556216632;0.0571476793;0.0540847809;0.047964765;0.0431113412;0.0429533595;0.0461468382;0.0497529137;0.0504333315;0.0456812767;0.0405228543;0.0362809201;0.0362284278;0.0371446431;0.0373853352;0.0359352265;0.0324641722;0.0284503927;0.0258545369;0.0252044005;0.0260487186;0.0270318341;0.0269462416;0.0276415741;0.027640153;0.0287192578;0.0282639432;0.0266751372;0.0245612765;0.0219510504;0.0202438566;0.0178952973;0.0171470545;0.0177978342;0.019874028;0.0211648783;0.0204533894;0.0182064872;0.0156272838;0.0145004268;0.0146780839;0.0149920198;0.0146620045;0.0131376117;0.0112504527;0.009651563;0.0090801061
US Massachusetts;6892503;20202;0.4454961064;0.0028883917;0.0028883917;0.0049061024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4163301264;0.3690081224;0.3651484912;0.3647438922;0.3459991079;0.34462833;0.3763225592;0.4120797255;0.4454961064;0.4326865767;0.3676559387;0.3011622918;0.2397952482;0.1977462421;0.1729548948;0.1627459372;0.1597348026;0.147410543;0.131749732;0.1137114209;0.1026152202;0.1019575993;0.1054397023;0.1094419714;0.1095969865;0.102957024;0.0922258518;0.0795554884;0.0702757536;0.0682382409;0.069766203;0.0729233974;0.0700966369;0.0625774482;0.0534618268;0.0487739352;0.0491202979;0.0518960046;0.053072671;0.0489675365;0.0421402282;0.0353712734;0.0321897014;0.0318774845;0.0323885771;0.0321686198;0.0299702841;0.0265794559;0.0232990796;0.0211600791;0.0210085694;0.0214186868;0.0211806745;0.0190982732;0.0160169601;0.0135551112;0.0129515537;0.0137709802;0.0154994777;0.0164522967;0.0160345571;0.0147093372;0.0130406754;0.0121744353;0.0114647725;0.0110574694;0.0105968643;0.009807795;0.008861195;0.0077487058;0.0068170419;0.0062619004;0.0062607145;0.006684484;0.0083131335;0.0108582382;0.0129236031;0.0136058916;0.0116661173;0.0087671758;0.0059974697;0.0043803234;0.0038467977;0.0031684792;0.0028883917
US Michigan;9986857;146435;0.4099317735;0.0014017463;0.0014017463;0.0040962229;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3951333506;0.3659235746;0.3691007459;0.3889250814;0.4099317735;0.4051268185;0.3817216554;0.3442320462;0.3116849147;0.3476569885;0.3736721528;0.388681089;0.3655405703;0.2720757012;0.2010411912;0.1543077669;0.1397021613;0.1333430648;0.1268670839;0.119932057;0.1106207321;0.0982548875;0.090384187;0.0833320442;0.0814147496;0.0791282206;0.0753454425;0.0685609468;0.058456787;0.0519940589;0.0471978001;0.045891115;0.0447229262;0.0429030998;0.0397890203;0.0352321341;0.0318056894;0.0291818422;0.0281522397;0.0278575619;0.0275751426;0.0265396971;0.0240518302;0.0221284181;0.0212581463;0.0221907041;0.0240956402;0.0256354976;0.0250844607;0.0223755929;0.0194535506;0.0173394161;0.0172630101;0.0182726077;0.0193031633;0.018824113;0.016422817;0.0139993791;0.0122558819;0.0119368697;0.0124719206;0.0128036516;0.0122887769;0.0108450344;0.0102894369;0.0118160913;0.0144941466;0.0169879111;0.0173977212;0.015125632;0.0116620409;0.0087213783;0.0079160344;0.0082802828;0.009000511;0.0094629185;0.0088148698;0.0073209565;0.0055609977;0.0045444792;0.0043302397;0.0047370756;0.0053692772;0.0054504061;0.0051132522;0.0044659976;0.0041021172;0.0040235497;0.0040489199;0.0040614087;0.0037222977;0.0031133877;0.0024328349;0.0018278778;0.0014145342;0.0014017463
US Minnesota;5639632;206232;0.3404561136;0.012923111;0.012923111;0.0154837369;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3404561136;0.2642367443;0.2308636873;0.2191854496;0.2444364173;0.2407719799;0.2304741351;0.2067787276;0.1743967607;0.1549442747;0.143823759;0.1415768106;0.1345073145;0.1243859395;0.1130858866;0.0993281443;0.0883027757;0.0812796237;0.0783965081;0.0772823722;0.0757732125;0.0755801958;0.0758212807;0.0758032031;0.0811232499;0.0790770187;0.0740296481;0.0650879553;0.0542704346;0.053728885;0.056881202;0.065383377;0.06772172;0.062913782;0.0578146844;0.0551347805;0.0588477965;0.0667357209;0.0716754938;0.0718832402;0.0700248373;0.0719717566;0.080757824;0.0930889655;0.1018076611;0.1016798146;0.09573325;0.0881828615;0.0847036817;0.0848835724;0.0863744645;0.0859288876;0.0796172822;0.0703796788;0.0613023583;0.0531947854;0.048442722;0.0463774554;0.046433979;0.0479511455;0.0488386352;0.0485561441;0.0461142228;0.0419716704;0.0394374981;0.0383938573;0.0385921912;0.0393635449;0.0385877387;0.0360765904;0.0318809742;0.0279964712;0.0256965049;0.025026288;0.0245966734;0.0232002533;0.0203088338;0.0170586232;0.0160252392;0.0167388124;0.018359139;0.0186596206;0.0169725896;0.0147235098;0.012923111
