Country/Region;Population;Area;Latest;Per 100,000 inh.;% Confirmed;Blank 4;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26;2020-05-27;2020-05-28;2020-05-29;2020-05-30;2020-05-31;2020-06-01;2020-06-02;2020-06-03;2020-06-04;2020-06-05;2020-06-06;2020-06-07;2020-06-08;2020-06-09;2020-06-10;2020-06-11;2020-06-12;2020-06-13;2020-06-14;2020-06-15;2020-06-16;2020-06-17;2020-06-18;2020-06-19;2020-06-20;2020-06-21;2020-06-22;2020-06-23;2020-06-24;2020-06-25;2020-06-26;2020-06-27;2020-06-28;2020-06-29;2020-06-30;2020-07-01;2020-07-02;2020-07-03;2020-07-04;2020-07-05;2020-07-06;2020-07-07;2020-07-08;2020-07-09;2020-07-10;2020-07-11;2020-07-12;2020-07-13;2020-07-14;2020-07-15;2020-07-16;2020-07-17;2020-07-18;2020-07-19;2020-07-20;2020-07-21;2020-07-22;2020-07-23;2020-07-24;2020-07-25;2020-07-26;2020-07-27;2020-07-28;2020-07-29;2020-07-30;2020-07-31;2020-08-01;2020-08-02;2020-08-03;2020-08-04;2020-08-05;2020-08-06;2020-08-07;2020-08-08;2020-08-09;2020-08-10;2020-08-11;2020-08-12;2020-08-13;2020-08-14;2020-08-15;2020-08-16;2020-08-17;2020-08-18;2020-08-19;2020-08-20;2020-08-21;2020-08-22;2020-08-23;2020-08-24;2020-08-25;2020-08-26;2020-08-27;2020-08-28;2020-08-29;2020-08-30;2020-08-31;2020-09-01;2020-09-02;2020-09-03;2020-09-04;2020-09-05;2020-09-06;2020-09-07;2020-09-08;2020-09-09;2020-09-10;2020-09-11;2020-09-12;2020-09-13;2020-09-14;2020-09-15;2020-09-16;2020-09-17;2020-09-18;2020-09-19;2020-09-20;2020-09-21;2020-09-22;2020-09-23;2020-09-24;2020-09-25;2020-09-26;2020-09-27;2020-09-28;2020-09-29;2020-09-30;2020-10-01;2020-10-02;2020-10-03;2020-10-04;2020-10-05;2020-10-06;2020-10-07;2020-10-08;2020-10-09;2020-10-10;2020-10-11;2020-10-12;2020-10-13;2020-10-14;2020-10-15;2020-10-16;2020-10-17;2020-10-18;2020-10-19;2020-10-20;2020-10-21;2020-10-22;2020-10-23;2020-10-24;2020-10-25;2020-10-26;2020-10-27;2020-10-28;2020-10-29;2020-10-30;2020-10-31;2020-11-01;2020-11-02;2020-11-03;2020-11-04;2020-11-05;2020-11-06;2020-11-07;2020-11-08;2020-11-09;2020-11-10;2020-11-11;2020-11-12;2020-11-13;2020-11-14;2020-11-15;2020-11-16;2020-11-17;2020-11-18;2020-11-19;2020-11-20;2020-11-21;2020-11-22;2020-11-23;2020-11-24;2020-11-25;2020-11-26;2020-11-27
US Louisiana;4648794;111898;28621;615.6650520544;0.1241142748;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6;14;36;51;90;115;137;240;347;473;580;837;1171;1387;1789;2291;2710;3264;3450;3910;5100;6184;8803;9824;11916;12173;13695;14896;15235;15978;16507;16699;17055;16991;16281;15527;13382;12821;11084;10918;9656;8570;8228;7456;6887;6498;6178;6052;5768;5709;5469;5593;5560;5412;5150;5142;5141;4913;4715;4905;4827;4747;4764;5002;5488;5126;4977;5092;5036;5042;4917;5852;6070;5623;5569;5994;6004;5835;5313;5353;5460;5484;5632;5708;5817;5058;5064;5446;5647;5241;5558;5533;5670;5805;6706;6703;6831;6960;7501;7322;7146;6899;6962;7189;7983;8447;8943;9774;9220;9617;9909;10389;11544;12677;14154;14873;15448;16088;16668;17674;18579;19867;21300;21886;22746;23947;23953;24850;25301;25890;26480;28565;28320;29203;29656;29098;28851;29452;30090;28996;28642;28070;27690;27866;28041;25954;27878;26589;25596;25012;24419;23825;22044;22087;21531;20958;20457;19314;18171;17639;14664;13960;13575;12974;12259;11544;11605;10991;11357;10899;10207;10428;10650;10409;10458;10831;10726;10649;10735;10821;10507;10213;10229;10016;10165;9994;9822;9988;9670;9131;8796;8953;8723;8494;8428;8924;7979;8092;8043;7864;7685;7433;7595;7593;7666;7504;7483;7461;7436;7216;8756;8703;8254;8383;8512;8332;8481;8751;8943;8900;9025;9150;9133;9300;8507;8755;9197;9092;8988;9155;9395;9613;9264;8923;8887;8851;8925;9379;9032;8941;9112;9259;9406;9570;9978;10795;12315;15332;16062;16793;17064;18537;19750;21121;24994;26103;27211;27788;29701;29021;29589;28621
US Maine;1344212;79883;2626;195.3560896644;0.233111407;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;3;3;17;32;43;53;57;73;89;107;125;149;154;165;208;250;258;271;301;323;375;383;381;392;394;388;405;418;405;380;423;431;426;420;395;391;397;376;369;370;377;379;374;382;325;306;286;299;296;305;318;330;338;347;393;409;418;421;439;437;459;470;480;496;502;508;515;565;547;574;605;619;612;632;622;624;623;634;638;636;636;599;569;534;511;515;514;497;500;478;495;475;468;461;442;418;432;431;414;387;383;388;380;403;381;397;398;409;434;458;450;460;459;458;452;446;443;416;397;366;348;339;313;284;270;263;249;272;288;283;270;251;258;270;275;274;272;288;290;276;291;271;259;252;262;260;257;236;228;217;212;204;201;203;207;210;227;238;242;256;271;291;293;307;318;319;325;321;345;344;329;335;333;364;347;350;347;345;345;345;346;356;345;351;377;370;374;345;373;368;397;405;433;437;455;443;426;425;397;419;450;469;463;451;440;439;419;433;424;431;436;435;452;443;425;405;397;427;420;417;424;423;425;429;441;478;502;531;571;631;705;755;776;837;937;1050;1196;1349;1466;1492;1634;1749;1815;1928;2069;2123;2229;2318;2437;2442;2474;2514;2520;2666;2656;2739;2825;2870;2626
US Maryland;6045680;25142;31089;514.2349578542;0.1612015058;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;5;6;9;12;17;26;31;37;57;85;107;146;187;241;283;343;414;568;757;966;1208;1376;1603;1900;2224;2609;2935;3365;3757;4022;5106;5605;6194;6702;6986;7523;7812;8047;8453;8814;9183;9221;9639;9822;9246;9552;9648;10072;10356;10551;10641;10817;10958;11900;12165;12632;12724;12924;13388;13637;13869;13768;14006;13886;13948;13963;14161;13514;13495;13342;13354;14429;14160;14157;13939;13961;13726;13779;13626;13611;13806;14002;14047;13974;13565;12629;12659;12327;12346;11987;11660;11252;11217;11042;10488;9625;9290;8923;8705;8234;7987;7371;6778;6474;6333;6199;6103;5872;5580;5502;5145;5076;5222;5150;4949;5194;5413;5385;5326;5301;5389;5524;5670;5795;6017;6332;6273;6701;7098;7241;7410;7865;8499;8781;9149;9311;9389;9856;10587;10639;11349;11264;11269;11513;11975;12159;12143;12459;12309;12254;12169;12040;11527;11755;11382;11319;11099;10983;10529;10328;9938;9571;9381;9223;9224;9093;8942;8599;8411;8203;8102;7903;7789;7601;7579;7534;7628;7670;7783;7932;8084;8017;8214;8193;8089;8015;8060;8239;8319;8397;8382;8569;8507;8231;8137;8037;7685;7673;7722;7722;7635;7439;7293;7234;7066;6837;6991;7160;7075;7134;7223;7292;7367;7625;7800;7823;7954;7981;8032;8193;8038;8107;8308;8367;8363;8540;8572;8554;8532;8692;8922;8983;9398;9507;9839;9985;10154;10488;10841;11022;11530;11985;12814;13428;13717;14527;14968;15998;16513;17455;18809;19785;20661;22039;23057;24769;25581;27056;28143;28426;28755;29738;30580;31089
US Massachusetts;6892503;20202;36157;524.5844651791;0.1649106964;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;23;38;64;97;118;156;229;314;426;547;678;1060;1739;2310;3128;4120;4792;5556;6403;7483;8638;9989;11211;11855;13061;14044;14953;16525;17727;18608;20525;21141;21588;22331;23625;24822;25890;27418;27677;28064;28221;29149;30091;30582;29557;29668;30193;30295;29713;29186;28736;28267;27671;27103;27112;25729;24364;23395;22855;22000;21030;20232;19977;19110;18670;17923;17965;17654;16945;16363;15556;14919;14882;14809;14361;13723;12713;12091;11368;10955;13753;13238;12622;11979;11668;11470;10761;10355;10196;9936;9772;9547;9094;8638;4885;4722;4559;4359;4093;3804;3625;3584;3550;3455;3170;3011;3048;3064;3078;2997;2992;2916;2978;2902;2913;2927;2899;2991;3060;3040;2955;2930;3059;3248;3204;3243;3251;3400;3560;3652;3695;3718;3750;3875;3870;4040;4099;4052;4337;4517;4733;4802;4924;4868;5170;5323;5227;5306;5443;5403;5389;5525;5316;5221;4919;4857;4742;4756;4385;4772;4854;4925;4649;4651;4707;4713;4756;4805;5053;5133;5029;5120;5300;4478;4169;3686;3546;3220;2893;2500;2169;1805;1350;908;714;414;64;63;64;64;64;64;64;64;63;64;547;1112;1699;2125;2632;3160;3909;4665;5333;5972;6483;6973;7504;7943;8220;8290;8261;8591;8828;8876;8709;8715;8627;8713;9026;9507;9674;10279;10584;11148;11662;12114;12625;13226;13985;14800;15646;16047;16061;16121;17133;17946;18989;20088;20834;20950;21844;23323;24625;25949;27566;28568;29890;31379;32569;33389;33675;34579;35451;35896;36318;37053;36734;36157
US Michigan;9986857;146435;101439;1015.7249673246;0.2743069921;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;27;50;74;100;140;188;251;372;528;727;997;1361;1728;2174;2868;3609;4457;5176;6079;6835;7571;8690;9627;10608;11478;12438;13137;13596;14468;14995;15715;16100;16360;16558;16636;16723;16809;16729;16621;16373;16115;15882;15339;14959;14287;14079;13741;13448;13099;12709;12625;12641;12598;12558;12283;12123;12007;11925;11955;12050;11920;11643;11472;11315;10908;10426;10037;9619;9469;9244;9295;10103;9970;9531;9447;9351;9249;9003;9079;9020;8879;8726;8561;8424;7628;6434;6003;5761;5429;5298;5290;5001;4527;4231;4006;3746;3621;3512;3472;3092;2721;2652;2556;2515;2486;2272;2166;2115;2182;2276;2631;2742;2853;3030;3373;3540;3657;3843;3892;4138;4459;4592;4880;5078;5036;5230;5312;5703;5996;6074;6356;6691;6830;6975;7136;7824;8161;8418;8757;8927;9126;9159;9179;9368;9387;9497;9885;9975;10094;10061;9942;9981;9994;9893;9979;10116;10163;10225;10398;10324;10065;10133;10255;9715;10075;10150;10450;10498;10375;10228;10198;9962;9861;9853;10082;10380;10424;10791;10487;10412;10049;10267;10276;10417;10377;10624;10964;11147;10989;10717;10265;10383;10503;11115;11227;11147;11262;11149;11274;11480;11205;10896;11078;11259;11455;11396;11491;11126;11315;11365;11415;11851;12272;12290;12496;13184;13124;13064;13521;13833;14156;14439;15091;15392;15694;16042;16441;17901;19123;19516;20456;21397;22116;22780;23583;24306;26148;27211;28273;29482;31479;33130;34269;36619;38411;40203;41769;44288;48187;50387;53391;56015;58639;62908;65938;69140;74974;78386;81507;84628;89077;90898;92778;98672;100018;101337;102656;102494;100561;101934;101439
US Minnesota;5639632;206232;87662;1554.392201477;0.2971583147;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;5;11;21;43;62;90;128;179;246;269;287;302;325;347;388;433;481;522;578;597;597;644;670;704;769;816;831;868;937;988;1032;1072;1092;1119;1139;1189;1249;1348;1430;1549;1630;1697;1860;2020;2224;2633;3056;3321;3648;4175;4623;5147;5630;6068;6283;6497;7045;7424;7752;8058;8252;8194;8040;8192;8255;8304;8449;8627;8634;8605;8752;8966;9099;9254;9334;9444;9569;9145;9265;9216;8994;8650;8476;8306;7910;7534;7280;6708;6314;6088;5867;5912;5558;5211;4859;4450;4284;4149;3796;3506;3407;3385;3343;3614;3932;3791;3603;3564;3705;4153;4568;5078;5168;5421;5420;5535;5593;5413;5216;5342;5664;5826;6040;6151;6538;6732;6911;6867;7026;7137;7389;7590;8068;8538;8324;8372;8558;8721;8720;8872;9031;9111;9205;9345;9450;9718;9743;9453;9705;9818;9919;9697;9810;9745;9713;9558;9356;9301;9260;9225;9205;9156;8899;8839;8668;8948;8766;8686;8782;8868;8933;9397;9517;9844;10037;10148;10294;10467;10815;10833;11013;11003;10927;10901;10632;9859;9476;9331;9122;9085;8996;8728;8599;8841;8841;9430;9717;9814;10232;10763;11473;12071;12423;12689;13096;13321;13478;13559;14066;13809;13857;14318;14551;14910;15123;15169;15534;15801;16127;16809;16906;18030;18303;18986;19640;19791;19940;20230;20551;21294;21534;21933;22962;23501;25205;26069;27382;27860;29181;31565;34332;36713;40444;42832;47060;49416;52145;55126;59484;61874;67556;72909;77398;79853;81120;85041;86393;87998;89295;91712;93235;94733;90357;87662
US Mississippi;2976149;121531;16417;551.6188873608;0.1106363765;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;6;10;12;21;34;50;80;140;207;249;320;377;484;575;657;748;835;916;1039;1127;1278;1315;1431;1489;1595;1626;1775;1890;1979;2023;2095;2150;2287;2447;2435;2519;2636;2774;2801;2891;2893;2965;3076;3130;3152;3255;3209;3191;3419;3467;3276;3365;3491;3530;3533;3656;3660;3590;3580;3566;3521;3668;3589;3682;3746;3555;3497;3543;3536;3534;3627;3751;3784;3823;3954;3889;3989;4106;4205;4320;4316;4355;4338;4135;3764;4018;4310;4395;4439;4415;4301;4119;4015;4047;4132;4319;4410;4540;4860;4688;4519;4772;4941;5729;5975;6183;6376;6768;7095;7259;7800;8423;9045;8942;8970;9316;9464;9075;9556;9888;10395;10113;10295;10667;11027;11107;11172;11738;12632;13310;14183;14462;15041;15678;16017;16277;16757;17237;17782;17918;18035;17915;17236;16675;16373;16347;15773;15549;14869;14692;13994;13570;12407;12183;11874;11583;11287;11008;11111;11049;10887;10622;10721;10756;10913;10736;10709;10364;10274;10540;10538;10377;9810;9667;9616;9210;8994;8725;8173;7695;7627;7881;7591;7198;7068;6939;6869;6819;6572;6609;6476;6426;6642;6768;6988;6857;7057;6985;7031;7115;6956;6951;7047;7080;7124;7147;7451;7668;7509;7649;7961;8073;8179;8303;8627;9253;9697;9839;9811;9889;9850;9882;10262;10195;10450;10494;10535;10676;10800;10448;10081;10154;10201;10273;10187;10152;10806;10978;10797;11263;11442;11521;11777;12078;12634;13180;13809;14033;14294;15121;14904;15575;16516;16491;16674;16406;16242;16717;16417
US Missouri;6137428;178040;61160;996.5086352133;0.2105074758;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;2;4;5;6;8;13;24;47;73;89;182;269;355;501;667;834;930;1025;1319;1568;1810;2066;2218;2277;2539;2767;2971;3037;3130;3186;3225;3357;3359;3314;3277;3170;3226;3300;3085;2904;2810;2782;2826;2802;2837;2783;2617;2530;2451;2552;2637;2719;2947;2975;2965;3020;2864;2840;2847;2747;2703;2717;2755;2621;2521;2403;2191;2164;2130;1999;2069;2086;2144;2249;2285;2350;2356;2339;2287;2358;2382;2495;2535;2717;2695;2690;2565;2567;2622;2695;2717;2790;2848;2853;2862;2839;2858;2851;2948;3148;3450;3409;3593;3681;4031;4329;4451;4575;4854;5137;5302;5375;5629;5625;5433;5713;6123;6336;6578;6652;6872;6868;6847;7275;7787;8139;8458;9033;9658;9768;10133;10859;11701;12786;13576;14484;15160;15997;17036;18412;19035;19010;18746;19263;19318;19258;18683;18027;17528;17169;16904;16112;15780;14963;14947;15139;15635;15736;15337;15354;15350;15585;16020;15979;15990;15701;15532;15777;15722;15793;16180;16074;16338;16538;16877;17251;17945;18359;18396;18477;18413;18017;18168;18944;19092;19382;19641;19374;19724;19914;19314;19410;19967;20253;20471;20720;21138;20880;20659;20607;19366;19526;19578;19268;19589;19587;19111;19217;18705;18845;18866;22216;21936;21769;22805;22566;22642;23174;23823;24265;24683;25042;25218;25567;25370;23222;24153;24567;25150;25953;27139;27629;28258;28839;30085;30799;32154;33853;35973;37614;39702;41419;43980;46136;47678;49176;52536;53916;54983;58462;60450;61246;61929;62246;62330;62456;61964;62024;61892;61160
US Montana;1068778;376962;15552;1455.1197723007;0.2600842866;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;5;7;7;8;10;12;16;20;31;34;46;53;70;107;124;147;164;176;198;215;227;245;255;265;273;279;283;257;248;233;223;215;196;188;179;161;147;136;118;107;88;79;68;61;55;52;48;38;32;29;23;22;20;19;16;14;13;11;10;10;10;11;12;13;13;13;14;20;21;21;22;21;21;20;19;21;27;37;46;49;52;47;60;62;63;65;68;73;80;78;80;83;86;90;91;105;116;125;155;172;192;189;205;240;256;264;262;310;353;386;428;462;469;495;509;584;605;663;764;825;895;924;985;1080;1148;1238;1304;1321;1372;1385;1442;1444;1446;1583;1584;1538;1523;1580;1583;1599;1610;1660;1612;1602;1616;1692;1718;1629;1610;1636;1629;1592;1593;1576;1578;1557;1559;1532;1527;1470;1459;1487;1477;1472;1520;1517;1522;1522;1592;1590;1629;1663;1735;1799;1803;1788;1835;1827;1757;1683;1734;1722;1674;1681;1686;1735;1740;1776;1852;1999;2035;2113;2319;2444;2579;2779;2982;3086;3306;3480;3640;3853;3984;4193;4336;4418;4647;5151;5435;5835;6210;6595;6712;6887;7139;7433;7740;7877;8186;8543;8746;8649;8963;9104;9025;9178;9376;9735;9756;9920;10321;10568;10674;10862;11066;11243;11328;11444;11806;11799;11552;11805;12104;12178;12328;13085;13663;13775;14239;14627;14850;15346;15594;16001;16328;16353;16495;16651;15552
US Nebraska;1934408;198974;30399;1571.4885380954;0.2472428265;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;3;5;10;13;14;17;18;21;24;27;32;37;47;47;49;56;63;72;82;91;127;151;186;219;247;283;315;359;395;458;494;550;604;683;669;699;691;706;787;817;924;1065;1201;1203;1246;1489;1721;1941;2214;2487;2473;2832;3215;3700;4039;4436;4435;4716;4958;5066;5410;5502;5287;5214;5318;5291;5135;4934;4894;4438;4542;4408;4351;4235;3831;3755;3819;3783;3927;3901;3845;3882;3685;3753;3720;3765;3744;3692;3717;3554;3500;3397;3264;3049;3054;2859;2728;2624;2506;2420;2360;2298;2212;2164;2176;2205;2209;2196;2031;2011;2142;2174;2191;2146;2084;2037;2069;2120;2119;2089;2109;2204;2277;2253;2223;2273;2357;2540;2669;2682;2701;2654;2654;2801;2989;3061;3195;3397;3397;3446;3500;3440;3443;3632;3850;3910;4119;4109;3988;4003;4003;3930;3850;3814;3797;3873;3822;3894;3777;3850;3670;3607;3647;3551;3527;3522;3535;3457;3351;3318;3483;3441;3448;3512;3674;3724;3749;3955;4121;4035;4025;3997;3928;4129;4190;4272;4405;4355;4289;4355;4396;4424;4452;4726;4992;5197;5413;5308;5361;5358;5321;5488;5728;5936;6074;6145;6264;6590;6606;6724;6871;6972;7118;7328;7982;8291;8319;8261;8499;8903;9243;9737;9931;10261;10558;10652;10912;11226;11366;11328;11415;11660;11833;12078;12722;12931;13398;13598;13803;14651;15580;16727;18183;19180;20172;21052;22357;23397;24403;25277;26102;26495;28981;29745;30729;31268;30968;30634;30092;30370;29949;30134;30399
US Nevada;3080156;284332;29580;960.3409697431;0.202163795;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;4;4;5;5;9;12;22;34;45;63;73;78;100;106;120;150;185;273;312;408;513;587;693;933;1040;1201;1357;1405;1618;1682;1763;1809;1997;2036;2049;2079;2098;1975;1975;1932;1863;2010;1884;1892;1877;1850;1763;1752;1814;1839;1766;1719;1717;1687;1677;1703;1685;1695;1661;1657;1582;1558;1486;1489;1496;1462;1506;1496;1501;1387;1398;1434;1415;1452;1503;1489;1517;1668;1672;1727;1686;1719;1709;1736;1786;1736;1782;1784;1765;1835;1865;1764;1879;1907;2033;2051;2191;2326;2451;2580;2591;2828;2911;2986;3220;3471;3556;3749;3967;4428;5080;5184;5393;5987;6615;6798;7259;7657;8232;8644;9213;9374;9788;9709;9425;10048;10499;10523;10621;11163;11367;12182;12577;12902;13347;13804;13743;14356;15015;14977;14978;15151;15316;15317;15338;14909;14793;14597;14440;14486;14651;14171;13638;13648;13603;13396;13141;12584;12242;11826;11661;11534;11100;10768;10460;10200;10027;9900;9650;9371;9038;8893;8618;8570;8103;7853;7603;7261;6994;6844;6639;6279;6033;6009;5957;5691;5592;5326;4954;4759;4629;4586;4407;4376;4372;4384;4317;4194;4069;4194;4549;4651;4947;5135;5191;5377;5555;5732;5815;6086;6289;6296;6401;6618;6540;6630;6840;7044;7051;7157;7240;7334;7559;7503;7944;8161;8406;8583;8717;9026;9073;9413;9924;9830;10073;10165;10585;11101;11111;11218;11271;11526;12029;12507;13256;13934;14319;14804;15396;15932;16326;16951;18243;18704;19983;20769;21366;22515;22792;22987;23866;25245;26776;28828;29901;29580
US New Hampshire;1359711;23187;5384;395.9664958215;0.278775954;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;4;4;4;4;6;6;7;13;13;17;24;37;42;53;61;74;97;104;131;152;180;201;301;348;389;408;435;485;556;591;614;680;667;661;698;715;671;655;724;766;808;775;721;723;776;752;784;851;835;858;879;918;871;841;859;995;1087;1196;1121;1096;1152;1173;1227;1224;1296;1262;1229;1245;1318;1200;1127;1008;1040;1085;1128;1092;1142;1108;989;997;992;987;922;982;989;1055;1033;1028;927;941;930;912;894;882;901;892;823;759;754;694;670;615;641;574;467;487;501;479;439;420;462;443;418;415;416;418;366;372;371;359;353;356;361;354;302;297;307;294;297;309;311;343;327;326;329;335;330;343;345;424;412;414;432;416;400;379;429;421;408;411;431;424;424;403;395;372;361;380;408;407;367;364;370;357;343;331;329;274;276;294;289;272;273;265;266;266;271;280;286;297;297;332;340;342;344;375;379;404;406;442;439;451;458;467;493;496;500;476;496;473;471;463;469;476;494;485;486;503;673;677;698;728;741;793;834;902;971;946;935;1046;1083;1109;980;1028;1049;1066;1097;1117;1116;1127;1146;1210;1254;1252;1292;1342;1370;1459;1520;1574;1620;1646;1814;1900;2003;2160;2302;2388;2507;2702;3045;3227;3457;3709;3855;4186;4469;4785;5040;5110;5343;5463;5628;5575;5384
US New Jersey;8882190;19047;56090;631.4884054496;0.171805938;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;6;11;15;24;30;50;50;98;178;267;427;741;889;1323;1908;2833;3660;4378;6846;8775;11074;13288;16458;18429;21828;24848;29005;32797;35591;38246;40741;43035;44151;45763;47027;48464;47948;50128;48775;49727;48572;47296;47796;47716;47971;48428;48962;47608;47372;47188;46604;45032;45234;43335;42723;42297;41443;39463;38206;36025;33646;33258;31562;29494;28757;26887;25296;24052;22715;21372;19590;19770;18420;18509;17837;17265;16019;15622;15147;15021;15068;15111;14939;14519;14111;12879;12532;11669;11058;10617;10789;10010;9405;9032;8718;8001;7320;6997;6436;6185;5881;5635;5577;5160;4941;4978;4918;4938;4546;4380;4420;4268;4301;4169;4241;4225;4249;4246;4199;4260;4196;4144;4147;4044;4044;4086;4116;4250;4248;4350;4145;3809;3781;3487;3352;3378;3606;3647;3717;3899;4065;4290;4380;4488;4469;5109;5215;5461;5651;5714;5682;5814;5716;5571;5410;5219;5180;5172;5624;5504;5413;5105;5153;5128;5100;4826;4756;4807;4721;4688;4546;4368;4019;3807;3878;4156;4193;4192;4168;4446;4605;4511;4564;4671;4646;4684;4801;4917;5017;5023;5008;5114;5197;5388;5426;5562;5704;5764;5913;5998;6138;6212;6513;6914;7139;7159;7483;7528;7781;8267;8440;8559;8762;8862;9596;9913;10027;10080;9990;10522;10748;11105;11175;11162;11811;12492;12851;13373;13237;13417;14462;14840;15587;16246;16974;17553;18719;19148;19616;19792;20632;22034;22834;23950;25243;26127;26969;29099;30498;32439;33860;36850;39645;40496;42694;44305;46525;47990;49457;51412;52935;53433;54410;55392;56090
