Country/Region;Population;Area;Maximum;Per 100,000 inh.;% Confirmed;% aCFR;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26;2020-05-27;2020-05-28;2020-05-29;2020-05-30;2020-05-31;2020-06-01;2020-06-02
US South Carolina;5148714;77857;501;9.7305851519;0.04035441;0.0471618187;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;3;5;5;7;9;9;13;16;18;22;26;31;31;40;44;44;51;63;67;72;80;82;82;97;107;107;109;119;120;120;124;140;150;150;166;174;174;177;203;244;256;267;275;275;283;305;305;316;330;331;331;355;355;371;380;380;380;391;399;399;407;419;425;435;440;446;466;470;483;487;494;500;501
US South Dakota;884659;196350;62;7.00835011;0.0122360371;0.013163482;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;4;6;6;6;6;6;6;6;6;6;7;7;7;7;7;8;8;9;10;10;11;11;11;13;17;21;21;21;21;24;29;31;31;34;34;34;39;39;43;44;44;44;44;46;46;48;50;50;50;50;50;54;54;59;62;62;62;62
US Tennessee;6829174;106798;381;5.5790056016;0.0156307692;0.0178822867;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;3;3;6;6;7;13;23;24;32;37;43;44;65;72;79;94;98;101;101;109;124;135;141;142;145;148;152;157;166;170;168;178;181;184;188;195;199;204;209;210;219;226;239;237;241;242;243;251;265;273;287;290;295;298;301;305;309;313;315;329;336;338;343;353;356;360;364;364;367;381
US Texas;28995881;676587;1698;5.8560041683;0.0255077515;0.0293157922;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;3;5;5;5;8;9;12;18;23;27;34;34;41;58;70;90;105;127;140;154;177;199;226;254;271;287;318;364;393;428;453;477;495;517;543;561;593;623;648;663;690;732;782;816;847;867;884;906;948;973;1004;1049;1088;1100;1133;1158;1216;1272;1305;1336;1347;1369;1419;1440;1480;1506;1506;1527;1536;1562;1601;1626;1626;1672;1678;1698
US Utah;3205958;212818;113;3.5246874725;0.0110762596;0.0129795543;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;1;1;1;1;1;2;2;2;4;5;7;7;7;8;8;13;13;13;13;17;18;18;18;19;20;21;23;25;27;28;32;34;35;39;41;41;41;45;45;46;46;49;50;50;56;58;61;61;66;67;68;73;75;75;77;78;80;80;80;90;92;93;97;97;98;101;105;106;107;112;113;113;113
US Vermont;623989;23871;55;8.8142579436;0.0556680162;0.0566426365;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;5;7;8;9;10;12;12;12;13;16;17;17;20;22;23;23;23;23;24;25;27;28;29;30;35;35;38;38;38;40;40;43;44;46;46;47;47;47;49;50;51;52;52;52;52;53;53;53;53;53;53;53;53;53;53;54;54;54;54;54;54;54;54;54;54;54;55;55;55;55;55;55
US Virgin Islands;104425;350;1;0.9576250898;0.125;0.125;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
US Virgin Islands;104425;350;6;5.7457505387;0.0857142857;0.0859934853;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;2;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
US Virginia;8535519;102279;1407;16.4840591416;0.0304288588;0.0349573902;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;2;2;2;3;6;7;9;13;14;17;22;25;27;34;41;46;52;51;54;63;75;109;121;130;141;149;154;195;208;231;258;277;300;324;349;372;410;436;448;458;492;522;552;581;616;660;684;713;713;769;812;827;839;850;891;927;955;977;1002;1009;1014;1041;1074;1099;1136;1159;1171;1208;1236;1281;1338;1358;1370;1375;1392;1407
US Washington;7614893;172119;1124;14.760548835;0.0511443782;0.0556959516;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;4;5;8;11;14;16;20;26;27;31;35;37;40;44;47;51;57;69;78;82;92;104;111;126;137;146;159;183;199;220;237;248;262;282;310;338;365;386;407;429;443;459;476;494;509;526;542;551;571;585;598;615;629;640;647;654;659;665;738;749;765;786;801;814;824;830;834;841;862;870;891;905;921;931;945;962;975;983;992;1000;1001;1002;1031;1037;1044;1050;1055;1061;1070;1078;1095;1106;1111;1118;1118;1124
US West Virginia;1792147;62259;77;4.2965225509;0.0377266046;0.0412426352;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;2;3;4;4;4;5;5;5;8;9;9;10;13;13;16;18;24;26;26;29;32;32;34;36;37;38;41;46;48;50;50;50;50;51;51;53;54;54;57;58;60;62;64;67;67;68;69;70;71;72;72;72;74;74;74;74;75;75;75;77
US Wisconsin;5822434;140268;607;10.4251933126;0.0320875403;0.036872798;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;4;4;5;5;7;8;13;13;13;14;16;24;31;37;56;68;77;92;99;111;128;137;144;154;170;182;197;205;211;220;230;242;246;257;262;266;272;281;300;308;316;327;334;339;340;353;362;374;384;398;400;409;418;421;434;445;453;453;459;467;481;487;496;507;510;514;517;539;550;568;588;592;595;607
US Wyoming;578759;251470;17;2.9373193333;0.0186813187;0.0197215777;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;2;2;2;6;6;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;8;8;10;11;11;12;12;12;12;13;13;15;15;16;16;17;17
